cab|n.出租车，出租马车；驾驶室 vi.乘出租马车
cabbage|n.洋白菜,卷心菜
cabin|n.客舱,机舱;小(木)屋
cabinet|n.内阁，内阁会议；(带玻璃门存物品的)橱柜
cable|n.电报;电缆;缆,索,钢丝绳 v.拍电报
cafe|n.咖啡馆,(小)餐馆
cafeteria|n.自助食堂
cage|n.鸟笼
cake|n.饼，糕，蛋糕；扁平的块状物
calcium|n.钙(化学符号 Ca)
calculate|v.计算,推算;计划,打算
calendar|n.日历,月历
call|vt.叫，喊；打电话 vi.叫；访问 n.叫；号召
calm|a.(天气,海洋等)静的 n.平静 v.(使)平静
calorie|n.卡路里(食物所产生的热量或能量单位)
camel|n.骆驼
camera|n.照相机,摄影机
camp|n.野营,营地;帐篷,阵营 v.设营,宿营
campaign|n.战役;运动
campus|n.(大学)校园
can|aux.v.能；可以 n.罐头；容器 vt.把„装罐
canal|n.运河;(沟)渠
cancel|v.取消,把„作废;删去,划掉
cancer|n.癌
candidate|n.候选人,候补者;报考者
candle|n.蜡烛
candy|n.糖果
cannon|n.大炮,火炮
canoe|n.独木舟,小游艇
canteen|n.(工厂、办公室等)食堂或小卖部
canvas|n.帆布；帆布画布，(帆布)油画
cap|n.便帽,军帽;盖,罩,套 v.覆盖于„顶端
capable|a.有本领的,有能力的;(of)可以„的,能„的
capacity|n.容量,容积;能量,能力;接受力
cape|n.海角，岬；披肩，短披风
capital|n.首都;大写字母;资本 a.主要的,大写字母的
capitalism|n.资本主义
capsule|n.胶囊;太空舱
captain|n.首领,队长;船长;上尉 v.做„的首领,指挥
captive|n.俘虏 a.被俘虏的,被监禁的
capture|v./n.捕获,俘虏;夺得,攻占
car|n.汽车，车辆，车；(火车)车厢
carbohydrate|n.碳水化合物; 糖类；(plural)淀粉质或糖类
carbon|n.碳
card|n.卡片,名片;纸牌;纸片
cardinal|n.(天主教的)红衣主教 a.首要的，基本的
care|n.小心;关怀,照料 v.(about)关心,介意,计较
career|n.(个人的)事业；专业，生涯，职业，经历
careful|a.小心的,仔细的;细致的,精心的
caress|vt.／n.爱抚，抚摸
cargo|n.船货,货物
carpenter|n.木工,木匠
carpet|n.地毯
carriage|n.(四轮)马车;(火车)客车厢
carrier|n.搬运人;载体
carrot|n.胡萝卜
carry|v.运送,搬运;传送,传播;领,带
cart|n.(二轮货运)马车,手推车
cartoon|n.漫画,幽默画;动画片
carve|v.(雕)刻
case|n.箱,盒,容器;情况,事实;病例;案件
cash|n.现金,现款 v.兑现,付(或收)现款
cashier|n.收银员,出纳员
cassette|n.盒子;盒式磁带
cast|v.投,扔,掷,抛；铸造；投票；n.演员表
castle|n.城堡；(国际象棋中的)车
casual|a.偶然的,碰巧的;临时的,非正式的
casualty|n.伤亡人员；受害人；损失的东西；急诊室
cat|n.猫；猫科；
catalog|n.（catalogue）目录(册) v.编目(录)
catastrophe|n.大灾难；(悲剧)结局
catch|v.捕捉,捕获;赶上;感染;理解,听到
category|n.种类，部属，类目；范畴，类型
cater|vi.(for/to)满足,迎合;(for)提供饮食及服务
cathedral|n.大教堂
Catholic|a.天主教的 n.天主教徒
cattle|n.牛;牲口,家畜
cause|n.原因;事业,事件,奋斗目标 v.使产生,引起
caution|n.谨慎；注意(事项)，警告 vt.劝„小心
cautious|a.(of)小心的,谨慎的
cave|n.洞,穴
cease|v./n.停止,中止
ceiling|n.天花板；(规定价格、工资等的)最高限额
celebrate|vt.庆祝；颂扬，赞美 vi.庆祝，过节
celebrity|n.名人，名流；著名，名声，名望
cell|n.细胞;小房间;蜂房;电池
cellar|n.地窑,地下室
cement|n.水泥;胶泥,胶接剂 v.胶合;巩固,加强
cemetery|n.坟墓，墓地，坟场
census|n.人口普查(调查)
cent|n.分(币);百
centigrade|n./a.摄氏温度计(的);百分度(的)
centimetre|n.(centimeter)厘米
central|a.中心的,中央的,中枢的;主要的
centre|n.中心，中央，中间 vt.集中 vi.以..为中心
century|n.世纪,(一)百年
cereal|n.加工而成的谷类食物；谷类植物，谷物
ceremony|n.典礼,仪式;礼节,礼仪
certain|a.某,某一,某些;(of)一定的,确信的,可靠的
certainly|ad.一定,必定,无疑;当然,行
certainty|n.必然,肯定;必然的事
certificate|n.证(明)书,执照
certify|vt.证明，证实；发证书(或执照)给
chain|n.链(条);(pl.)镣铐;一连串 v.用链条拴住
chair|n.椅子；(会议的)主席 vt.当„的主席，主持
chairman|n.主席,议长,会长,董事长
chalk|n.粉笔,白垩
challenge|n.挑战(书);艰巨任务,难题 v.向„挑战
chamber|n.房间，室；会议室；议院；(动物体内)腔室
champagne|n.香槟酒；微黄色
champion|n.冠军,得胜者;拥护者,斗士
chance|n.机会;可能性;偶然性,运气 v.碰巧,偶然发生
chancellor|n.(英)大臣；法官；(德、奥)总理；大学校长
change|n.改变,变化;零钱 v.更换,调换,交换;改变
channel|n.海峡,水道;信道,波道;路线,途径
chaos|n.混乱,紊乱
chap|n./v.(皮肤)变粗糙；发痛；n.小伙子
chapter|n. 章；回，篇
character|n.性格,品质,特性;人物,角色;字符,(汉)字
characteristic|a.(of)特有的,独特的 n.特征,特性
characterize|v.(characterise)表示„的特性;描述„特性
charge|v.索(价);控告;充电 n.(pl.)费用,代价;电荷
charity|n.慈善(团体),仁慈,施舍
charm|n.吸引力,魅力 v.迷人,(使)陶醉;施魔法于
chart|n.图表；航海图；航行图 vt.绘图表，制图表
charter|v.租船,租车,租用飞机；n.宪章，特许状
chase|v./n.追逐,追求
chat|v./n.闲谈,聊天
cheap|a.便宜的;低劣的,不值钱的
cheat|v.欺骗;作弊 n.骗子;欺诈,欺骗行为
cheek|n.面颊,脸
